name,id,hp,attack,defense,special_attack,special_defense,speed,height,weight,type_1,type_2
Gastly,92,30,35,30,100,35,80,13,1,Ghost,Poison
Haunter,93,45,50,45,115,55,95,16,1,Ghost,Poison
Gengar,94,60,65,60,130,75,110,15,405,Ghost,Poison
Onix,95,35,45,160,30,45,70,88,2100,Rock,Ground
Drowzee,96,60,48,45,43,90,42,10,324,Psychic,
Hypno,97,85,73,70,73,115,67,16,756,Psychic,
Krabby,98,30,105,90,25,25,50,4,65,Water,
Kingler,99,55,130,115,50,50,75,13,600,Water,
Voltorb,100,40,30,50,55,55,100,5,104,Electric,
Electrode,101,60,50,70,80,80,150,12,666,Electric,
Exeggcute,102,60,40,80,60,45,40,4,25,Grass,Psychic
Exeggutor,103,95,95,85,125,75,55,20,1200,Grass,Psychic
Cubone,104,50,50,95,40,50,35,4,65,Ground,
Marowak,105,60,80,110,50,80,45,10,450,Ground,
Hitmonlee,106,50,120,53,35,110,87,15,498,Fighting,
Hitmonchan,107,50,105,79,35,110,76,14,502,Fighting,
Lickitung,108,90,55,75,60,75,30,12,655,Normal,
Koffing,109,40,65,95,60,45,35,6,10,Poison,
Weezing,110,65,90,120,85,70,60,12,95,Poison,
Rhyhorn,111,80,85,95,30,30,25,10,1150,Ground,Rock
Rhydon,112,105,130,120,45,45,40,19,1200,Ground,Rock
Chansey,113,250,5,5,35,105,50,11,346,Normal,
Tangela,114,65,55,115,100,40,60,10,350,Grass,
Kangaskhan,115,105,95,80,40,80,90,22,800,Normal,
Horsea,116,30,40,70,70,25,60,4,80,Water,
Seadra,117,55,65,95,95,45,85,12,250,Water,
Goldeen,118,45,67,60,35,50,63,6,150,Water,
Seaking,119,80,92,65,65,80,68,13,390,Water,
Staryu,120,30,45,55,70,55,85,8,345,Water,
Starmie,121,60,75,85,100,85,115,11,800,Water,Psychic
Mr-Mime,122,40,45,65,100,120,90,13,545,Psychic,Fairy
Scyther,123,70,110,80,55,80,105,15,560,Bug,Flying
Jynx,124,65,50,35,115,95,95,14,406,Ice,Psychic
Electabuzz,125,65,83,57,95,85,105,11,300,Electric,
Magmar,126,65,95,57,100,85,93,13,445,Fire,
Pinsir,127,65,125,100,55,70,85,15,550,Bug,
Tauros,128,75,100,95,40,70,110,14,884,Normal,
Magikarp,129,20,10,55,15,20,80,9,100,Water,
Gyarados,130,95,125,79,60,100,81,65,2350,Water,Flying
Lapras,131,130,85,80,85,95,60,25,2200,Water,Ice
Ditto,132,48,48,48,48,48,48,3,40,Normal,
Eevee,133,55,55,50,45,65,55,3,65,Normal,
Vaporeon,134,130,65,60,110,95,65,10,290,Water,
Jolteon,135,65,65,60,110,95,130,8,245,Electric,
Flareon,136,65,130,60,95,110,65,9,250,Fire,
Porygon,137,65,60,70,85,75,40,8,365,Normal,
Omanyte,138,35,40,100,90,55,35,4,75,Rock,Water
Omastar,139,70,60,125,115,70,55,10,350,Rock,Water
Kabuto,140,30,80,90,55,45,55,5,115,Rock,Water
Kabutops,141,60,115,105,65,70,80,13,405,Rock,Water
Aerodactyl,142,80,105,65,60,75,130,18,590,Rock,Flying
Snorlax,143,160,110,65,65,110,30,21,4600,Normal,
Articuno,144,90,85,100,95,125,85,17,554,Ice,Flying
Zapdos,145,90,90,85,125,90,100,16,526,Electric,Flying
Moltres,146,90,100,90,125,85,90,20,600,Fire,Flying
Dratini,147,41,64,45,50,50,50,18,33,Dragon,
Dragonair,148,61,84,65,70,70,70,40,165,Dragon,
Dragonite,149,91,134,95,100,100,80,22,2100,Dragon,Flying
Mewtwo,150,106,110,90,154,90,130,20,1220,Psychic,
Mew,151,100,100,100,100,100,100,4,40,Psychic,
Chikorita,152,45,49,65,49,65,45,9,64,Grass,
Bayleef,153,60,62,80,63,80,60,12,158,Grass,
Meganium,154,80,82,100,83,100,80,18,1005,Grass,
Cyndaquil,155,39,52,43,60,50,65,5,79,Fire,
Quilava,156,58,64,58,80,65,80,9,190,Fire,
Typhlosion,157,78,84,78,109,85,100,17,795,Fire,
Totodile,158,50,65,64,44,48,43,6,95,Water,
Croconaw,159,65,80,80,59,63,58,11,250,Water,
Feraligatr,160,85,105,100,79,83,78,23,888,Water,
Sentret,161,35,46,34,35,45,20,8,60,Normal,
Furret,162,85,76,64,45,55,90,18,325,Normal,
Hoothoot,163,60,30,30,36,56,50,7,212,Normal,Flying
Noctowl,164,100,50,50,86,96,70,16,408,Normal,Flying
Ledyba,165,40,20,30,40,80,55,10,108,Bug,Flying
Ledian,166,55,35,50,55,110,85,14,356,Bug,Flying
Spinarak,167,40,60,40,40,40,30,5,85,Bug,Poison
Ariados,168,70,90,70,60,70,40,11,335,Bug,Poison
Crobat,169,85,90,80,70,80,130,18,750,Poison,Flying
Chinchou,170,75,38,38,56,56,67,5,120,Water,Electric
Lanturn,171,125,58,58,76,76,67,12,225,Water,Electric
Pichu,172,20,40,15,35,35,60,3,20,Electric,
Cleffa,173,50,25,28,45,55,15,3,30,Fairy,
Igglybuff,174,90,30,15,40,20,15,3,10,Normal,Fairy
Togepi,175,35,20,65,40,65,20,3,15,Fairy,
Togetic,176,55,40,85,80,105,40,6,32,Fairy,Flying
Natu,177,40,50,45,70,45,70,2,20,Psychic,Flying
Xatu,178,65,75,70,95,70,95,15,150,Psychic,Flying
Mareep,179,55,40,40,65,45,35,6,78,Electric,
Flaaffy,180,70,55,55,80,60,45,8,133,Electric,
Ampharos,181,90,75,85,115,90,55,14,615,Electric,
Bellossom,182,75,80,95,90,100,50,4,58,Grass,
Marill,183,70,20,50,20,50,40,4,85,Water,Fairy
Azumarill,184,100,50,80,60,80,50,8,285,Water,Fairy
Sudowoodo,185,70,100,115,30,65,30,12,380,Rock,
Politoed,186,90,75,75,90,100,70,11,339,Water,
Hoppip,187,35,35,40,35,55,50,4,5,Grass,Flying
Skiploom,188,55,45,50,45,65,80,6,10,Grass,Flying
Jumpluff,189,75,55,70,55,95,110,8,30,Grass,Flying
Aipom,190,55,70,55,40,55,85,8,115,Normal,
Sunkern,191,30,30,30,30,30,30,3,18,Grass,
Sunflora,192,75,75,55,105,85,30,8,85,Grass,
Yanma,193,65,65,45,75,45,95,12,380,Bug,Flying
Wooper,194,55,45,45,25,25,15,4,85,Water,Ground
Quagsire,195,95,85,85,65,65,35,14,750,Water,Ground
Espeon,196,65,65,60,130,95,110,9,265,Psychic,
Umbreon,197,95,65,110,60,130,65,10,270,Dark,
Murkrow,198,60,85,42,85,42,91,5,21,Dark,Flying
Slowking,199,95,75,80,100,110,30,20,795,Water,Psychic
Misdreavus,200,60,60,60,85,85,85,7,10,Ghost,
Unown,201,48,72,48,72,48,48,5,50,Psychic,
Wobbuffet,202,190,33,58,33,58,33,13,285,Psychic,
Girafarig,203,70,80,65,90,65,85,15,415,Normal,Psychic
Pineco,204,50,65,90,35,35,15,6,72,Bug,
Forretress,205,75,90,140,60,60,40,12,1258,Bug,Steel
Dunsparce,206,100,70,70,65,65,45,15,140,Normal,
Gligar,207,65,75,105,35,65,85,11,648,Ground,Flying
Steelix,208,75,85,200,55,65,30,92,4000,Steel,Ground
Snubbull,209,60,80,50,40,40,30,6,78,Fairy,
Granbull,210,90,120,75,60,60,45,14,487,Fairy,
Qwilfish,211,65,95,85,55,55,85,5,39,Water,Poison
Scizor,212,70,130,100,55,80,65,18,1180,Bug,Steel
Shuckle,213,20,10,230,10,230,5,6,205,Bug,Rock
Heracross,214,80,125,75,40,95,85,15,540,Bug,Fighting
Sneasel,215,55,95,55,35,75,115,9,280,Dark,Ice
Teddiursa,216,60,80,50,50,50,40,6,88,Normal,
Ursaring,217,90,130,75,75,75,55,18,1258,Normal,
Slugma,218,40,40,40,70,40,20,7,350,Fire,
Magcargo,219,60,50,120,90,80,30,8,550,Fire,Rock
Swinub,220,50,50,40,30,30,50,4,65,Ice,Ground
Piloswine,221,100,100,80,60,60,50,11,558,Ice,Ground
Corsola,222,65,55,95,65,95,35,6,50,Water,Rock
Remoraid,223,35,65,35,65,35,65,6,120,Water,
Octillery,224,75,105,75,105,75,45,9,285,Water,
Delibird,225,45,55,45,65,45,75,9,160,Ice,Flying
Mantine,226,85,40,70,80,140,70,21,2200,Water,Flying
Skarmory,227,65,80,140,40,70,70,17,505,Steel,Flying
Houndour,228,45,60,30,80,50,65,6,108,Dark,Fire
Houndoom,229,75,90,50,110,80,95,14,350,Dark,Fire
Kingdra,230,75,95,95,95,95,85,18,1520,Water,Dragon
Phanpy,231,90,60,60,40,40,40,5,335,Ground,
Donphan,232,90,120,120,60,60,50,11,1200,Ground,
Porygon2,233,85,80,90,105,95,60,6,325,Normal,
Stantler,234,73,95,62,85,65,85,14,712,Normal,
Smeargle,235,55,20,35,20,45,75,12,580,Normal,
Tyrogue,236,35,35,35,35,35,35,7,210,Fighting,
Hitmontop,237,50,95,95,35,110,70,14,480,Fighting,
Smoochum,238,45,30,15,85,65,65,4,60,Ice,Psychic
Elekid,239,45,63,37,65,55,95,6,235,Electric,
Magby,240,45,75,37,70,55,83,7,214,Fire,
Miltank,241,95,80,105,40,70,100,12,755,Normal,
Blissey,242,255,10,10,75,135,55,15,468,Normal,
Raikou,243,90,85,75,115,100,115,19,1780,Electric,
Entei,244,115,115,85,90,75,100,21,1980,Fire,
Suicune,245,100,75,115,90,115,85,20,1870,Water,
Larvitar,246,50,64,50,45,50,41,6,720,Rock,Ground
Pupitar,247,70,84,70,65,70,51,12,1520,Rock,Ground
Tyranitar,248,100,134,110,95,100,61,20,2020,Rock,Dark
Lugia,249,106,90,130,90,154,110,52,2160,Psychic,Flying
Ho-Oh,250,106,130,90,110,154,90,38,1990,Fire,Flying
Celebi,251,100,100,100,100,100,100,6,50,Psychic,Grass
Treecko,252,40,45,35,65,55,70,5,50,Grass,
Grovyle,253,50,65,45,85,65,95,9,216,Grass,
Sceptile,254,70,85,65,105,85,120,17,522,Grass,
Torchic,255,45,60,40,70,50,45,4,25,Fire,
Combusken,256,60,85,60,85,60,55,9,195,Fire,Fighting
Blaziken,257,80,120,70,110,70,80,19,520,Fire,Fighting
Mudkip,258,50,70,50,50,50,40,4,76,Water,
Marshtomp,259,70,85,70,60,70,50,7,280,Water,Ground
Swampert,260,100,110,90,85,90,60,15,819,Water,Ground
Poochyena,261,35,55,35,30,30,35,5,136,Dark,
Mightyena,262,70,90,70,60,60,70,10,370,Dark,
Zigzagoon,263,38,30,41,30,41,60,4,175,Normal,
Linoone,264,78,70,61,50,61,100,5,325,Normal,
Wurmple,265,45,45,35,20,30,20,3,36,Bug,
Silcoon,266,50,35,55,25,25,15,6,100,Bug,
Beautifly,267,60,70,50,100,50,65,10,284,Bug,Flying
Cascoon,268,50,35,55,25,25,15,7,115,Bug,
Dustox,269,60,50,70,50,90,65,12,316,Bug,Poison
Lotad,270,40,30,30,40,50,30,5,26,Water,Grass
Lombre,271,60,50,50,60,70,50,12,325,Water,Grass
Ludicolo,272,80,70,70,90,100,70,15,550,Water,Grass
Seedot,273,40,40,50,30,30,30,5,40,Grass,
Nuzleaf,274,70,70,40,60,40,60,10,280,Grass,Dark
Shiftry,275,90,100,60,90,60,80,13,596,Grass,Dark
Taillow,276,40,55,30,30,30,85,3,23,Normal,Flying
Swellow,277,60,85,60,75,50,125,7,198,Normal,Flying
Wingull,278,40,30,30,55,30,85,6,95,Water,Flying
Pelipper,279,60,50,100,95,70,65,12,280,Water,Flying
Ralts,280,28,25,25,45,35,40,4,66,Psychic,Fairy
Kirlia,281,38,35,35,65,55,50,8,202,Psychic,Fairy
Gardevoir,282,68,65,65,125,115,80,16,484,Psychic,Fairy
Surskit,283,40,30,32,50,52,65,5,17,Bug,Water
Masquerain,284,70,60,62,100,82,80,8,36,Bug,Flying
Shroomish,285,60,40,60,40,60,35,4,45,Grass,
Breloom,286,60,130,80,60,60,70,12,392,Grass,Fighting
Slakoth,287,60,60,60,35,35,30,8,240,Normal,
Vigoroth,288,80,80,80,55,55,90,14,465,Normal,
Slaking,289,150,160,100,95,65,100,20,1305,Normal,
Nincada,290,31,45,90,30,30,40,5,55,Bug,Ground
Ninjask,291,61,90,45,50,50,160,8,120,Bug,Flying
Shedinja,292,1,90,45,30,30,40,8,12,Bug,Ghost
Whismur,293,64,51,23,51,23,28,6,163,Normal,
Loudred,294,84,71,43,71,43,48,10,405,Normal,
Exploud,295,104,91,63,91,73,68,15,840,Normal,
Makuhita,296,72,60,30,20,30,25,10,864,Fighting,
Hariyama,297,144,120,60,40,60,50,23,2538,Fighting,
Azurill,298,50,20,40,20,40,20,2,20,Normal,Fairy
Nosepass,299,30,45,135,45,90,30,10,970,Rock,
Skitty,300,50,45,45,35,35,50,6,110,Normal,
Delcatty,301,70,65,65,55,55,90,11,326,Normal,
Sableye,302,50,75,75,65,65,50,5,110,Dark,Ghost
Mawile,303,50,85,85,55,55,50,6,115,Steel,Fairy
Aron,304,50,70,100,40,40,30,4,600,Steel,Rock
Lairon,305,60,90,140,50,50,40,9,1200,Steel,Rock
Aggron,306,70,110,180,60,60,50,21,3600,Steel,Rock
Meditite,307,30,40,55,40,55,60,6,112,Fighting,Psychic
Medicham,308,60,60,75,60,75,80,13,315,Fighting,Psychic
Electrike,309,40,45,40,65,40,65,6,152,Electric,
Manectric,310,70,75,60,105,60,105,15,402,Electric,
Plusle,311,60,50,40,85,75,95,4,42,Electric,
Minun,312,60,40,50,75,85,95,4,42,Electric,
Volbeat,313,65,73,75,47,85,85,7,177,Bug,
Illumise,314,65,47,75,73,85,85,6,177,Bug,
Roselia,315,50,60,45,100,80,65,3,20,Grass,Poison
Gulpin,316,70,43,53,43,53,40,4,103,Poison,
Swalot,317,100,73,83,73,83,55,17,800,Poison,
Carvanha,318,45,90,20,65,20,65,8,208,Water,Dark
Sharpedo,319,70,120,40,95,40,95,18,888,Water,Dark
Wailmer,320,130,70,35,70,35,60,20,1300,Water,
Wailord,321,170,90,45,90,45,60,145,3980,Water,
Numel,322,60,60,40,65,45,35,7,240,Fire,Ground
Camerupt,323,70,100,70,105,75,40,19,2200,Fire,Ground
Torkoal,324,70,85,140,85,70,20,5,804,Fire,
Spoink,325,60,25,35,70,80,60,7,306,Psychic,
Grumpig,326,80,45,65,90,110,80,9,715,Psychic,
Spinda,327,60,60,60,60,60,60,11,50,Normal,
Trapinch,328,45,100,45,45,45,10,7,150,Ground,
Vibrava,329,50,70,50,50,50,70,11,153,Ground,Dragon
Flygon,330,80,100,80,80,80,100,20,820,Ground,Dragon
Cacnea,331,50,85,40,85,40,35,4,513,Grass,
Cacturne,332,70,115,60,115,60,55,13,774,Grass,Dark
Swablu,333,45,40,60,40,75,50,4,12,Normal,Flying
Altaria,334,75,70,90,70,105,80,11,206,Dragon,Flying
Zangoose,335,73,115,60,60,60,90,13,403,Normal,
Seviper,336,73,100,60,100,60,65,27,525,Poison,
Lunatone,337,90,55,65,95,85,70,10,1680,Rock,Psychic
Solrock,338,90,95,85,55,65,70,12,1540,Rock,Psychic
Barboach,339,50,48,43,46,41,60,4,19,Water,Ground
Whiscash,340,110,78,73,76,71,60,9,236,Water,Ground
Corphish,341,43,80,65,50,35,35,6,115,Water,
Crawdaunt,342,63,120,85,90,55,55,11,328,Water,Dark
Baltoy,343,40,40,55,40,70,55,5,215,Ground,Psychic
Claydol,344,60,70,105,70,120,75,15,1080,Ground,Psychic
Lileep,345,66,41,77,61,87,23,10,238,Rock,Grass
Cradily,346,86,81,97,81,107,43,15,604,Rock,Grass
Anorith,347,45,95,50,40,50,75,7,125,Rock,Bug
Armaldo,348,75,125,100,70,80,45,15,682,Rock,Bug
Feebas,349,20,15,20,10,55,80,6,74,Water,
Milotic,350,95,60,79,100,125,81,62,1620,Water,
Castform,351,70,70,70,70,70,70,3,8,Normal,
Kecleon,352,60,90,70,60,120,40,10,220,Normal,
Shuppet,353,44,75,35,63,33,45,6,23,Ghost,
Banette,354,64,115,65,83,63,65,11,125,Ghost,
Duskull,355,20,40,90,30,90,25,8,150,Ghost,
Dusclops,356,40,70,130,60,130,25,16,306,Ghost,
Tropius,357,99,68,83,72,87,51,20,1000,Grass,Flying
Chimecho,358,75,50,80,95,90,65,6,10,Psychic,
Absol,359,65,130,60,75,60,75,12,470,Dark,
Wynaut,360,95,23,48,23,48,23,6,140,Psychic,
Snorunt,361,50,50,50,50,50,50,7,168,Ice,
Glalie,362,80,80,80,80,80,80,15,2565,Ice,
Spheal,363,70,40,50,55,50,25,8,395,Ice,Water
Sealeo,364,90,60,70,75,70,45,11,876,Ice,Water
Walrein,365,110,80,90,95,90,65,14,1506,Ice,Water
Clamperl,366,35,64,85,74,55,32,4,525,Water,
Huntail,367,55,104,105,94,75,52,17,270,Water,
Gorebyss,368,55,84,105,114,75,52,18,226,Water,
Relicanth,369,100,90,130,45,65,55,10,234,Water,Rock
Luvdisc,370,43,30,55,40,65,97,6,87,Water,
Bagon,371,45,75,60,40,30,50,6,421,Dragon,
Shelgon,372,65,95,100,60,50,50,11,1105,Dragon,
Salamence,373,95,135,80,110,80,100,15,1026,Dragon,Flying
Beldum,374,40,55,80,35,60,30,6,952,Steel,Psychic
Metang,375,60,75,100,55,80,50,12,2025,Steel,Psychic
Metagross,376,80,135,130,95,90,70,16,5500,Steel,Psychic
Regirock,377,80,100,200,50,100,50,17,2300,Rock,
Regice,378,80,50,100,100,200,50,18,1750,Ice,
Registeel,379,80,75,150,75,150,50,19,2050,Steel,
Latias,380,80,80,90,110,130,110,14,400,Dragon,Psychic
Latios,381,80,90,80,130,110,110,20,600,Dragon,Psychic
Kyogre,382,100,100,90,150,140,90,45,3520,Water,
Groudon,383,100,150,140,100,90,90,35,9500,Ground,
Rayquaza,384,105,150,90,150,90,95,70,2065,Dragon,Flying
Jirachi,385,100,100,100,100,100,100,3,11,Steel,Psychic
Deoxys-Normal,386,50,150,50,150,50,150,17,608,Psychic,
Turtwig,387,55,68,64,45,55,31,4,102,Grass,
Grotle,388,75,89,85,55,65,36,11,970,Grass,
Torterra,389,95,109,105,75,85,56,22,3100,Grass,Ground
Chimchar,390,44,58,44,58,44,61,5,62,Fire,
Monferno,391,64,78,52,78,52,81,9,220,Fire,Fighting
Infernape,392,76,104,71,104,71,108,12,550,Fire,Fighting
Piplup,393,53,51,53,61,56,40,4,52,Water,
Prinplup,394,64,66,68,81,76,50,8,230,Water,
Empoleon,395,84,86,88,111,101,60,17,845,Water,Steel
Starly,396,40,55,30,30,30,60,3,20,Normal,Flying
Staravia,397,55,75,50,40,40,80,6,155,Normal,Flying
Staraptor,398,85,120,70,50,60,100,12,249,Normal,Flying
Bidoof,399,59,45,40,35,40,31,5,200,Normal,
Bibarel,400,79,85,60,55,60,71,10,315,Normal,Water
Kricketot,401,37,25,41,25,41,25,3,22,Bug,
Kricketune,402,77,85,51,55,51,65,10,255,Bug,
Shinx,403,45,65,34,40,34,45,5,95,Electric,
Luxio,404,60,85,49,60,49,60,9,305,Electric,
Luxray,405,80,120,79,95,79,70,14,420,Electric,
Budew,406,40,30,35,50,70,55,2,12,Grass,Poison
Roserade,407,60,70,65,125,105,90,9,145,Grass,Poison
Cranidos,408,67,125,40,30,30,58,9,315,Rock,
Rampardos,409,97,165,60,65,50,58,16,1025,Rock,
Shieldon,410,30,42,118,42,88,30,5,570,Rock,Steel
Bastiodon,411,60,52,168,47,138,30,13,1495,Rock,Steel
Burmy,412,40,29,45,29,45,36,2,34,Bug,
Wormadam-Plant,413,60,59,85,79,105,36,5,65,Bug,Grass
Mothim,414,70,94,50,94,50,66,9,233,Bug,Flying
Combee,415,30,30,42,30,42,70,3,55,Bug,Flying
Vespiquen,416,70,80,102,80,102,40,12,385,Bug,Flying
Pachirisu,417,60,45,70,45,90,95,4,39,Electric,
Buizel,418,55,65,35,60,30,85,7,295,Water,
Floatzel,419,85,105,55,85,50,115,11,335,Water,
Cherubi,420,45,35,45,62,53,35,4,33,Grass,
Cherrim,421,70,60,70,87,78,85,5,93,Grass,
Shellos,422,76,48,48,57,62,34,3,63,Water,
Gastrodon,423,111,83,68,92,82,39,9,299,Water,Ground
Ambipom,424,75,100,66,60,66,115,12,203,Normal,
Drifloon,425,90,50,34,60,44,70,4,12,Ghost,Flying
Drifblim,426,150,80,44,90,54,80,12,150,Ghost,Flying
Buneary,427,55,66,44,44,56,85,4,55,Normal,
Lopunny,428,65,76,84,54,96,105,12,333,Normal,
Mismagius,429,60,60,60,105,105,105,9,44,Ghost,
Honchkrow,430,100,125,52,105,52,71,9,273,Dark,Flying
Glameow,431,49,55,42,42,37,85,5,39,Normal,
Purugly,432,71,82,64,64,59,112,10,438,Normal,
Chingling,433,45,30,50,65,50,45,2,6,Psychic,
Stunky,434,63,63,47,41,41,74,4,192,Poison,Dark
Skuntank,435,103,93,67,71,61,84,10,380,Poison,Dark
Bronzor,436,57,24,86,24,86,23,5,605,Steel,Psychic
Bronzong,437,67,89,116,79,116,33,13,1870,Steel,Psychic
Bonsly,438,50,80,95,10,45,10,5,150,Rock,
Mime-Jr,439,20,25,45,70,90,60,6,130,Psychic,Fairy
Happiny,440,100,5,5,15,65,30,6,244,Normal,
Chatot,441,76,65,45,92,42,91,5,19,Normal,Flying
Spiritomb,442,50,92,108,92,108,35,10,1080,Ghost,Dark
Gible,443,58,70,45,40,45,42,7,205,Dragon,Ground
Gabite,444,68,90,65,50,55,82,14,560,Dragon,Ground
Garchomp,445,108,130,95,80,85,102,19,950,Dragon,Ground
Munchlax,446,135,85,40,40,85,5,6,1050,Normal,
Riolu,447,40,70,40,35,40,60,7,202,Fighting,
Lucario,448,70,110,70,115,70,90,12,540,Fighting,Steel
Hippopotas,449,68,72,78,38,42,32,8,495,Ground,
Hippowdon,450,108,112,118,68,72,47,20,3000,Ground,
Skorupi,451,40,50,90,30,55,65,8,120,Poison,Bug
Drapion,452,70,90,110,60,75,95,13,615,Poison,Dark
Croagunk,453,48,61,40,61,40,50,7,230,Poison,Fighting
Toxicroak,454,83,106,65,86,65,85,13,444,Poison,Fighting
Carnivine,455,74,100,72,90,72,46,14,270,Grass,
Finneon,456,49,49,56,49,61,66,4,70,Water,
Lumineon,457,69,69,76,69,86,91,12,240,Water,
Mantyke,458,45,20,50,60,120,50,10,650,Water,Flying
Snover,459,60,62,50,62,60,40,10,505,Grass,Ice
